sample_id,site_number,invaded_status,location,latitude,longitude,P,C,N,avg_pH,notes
1A,1,invaded,town,58.77346,-94.18855,95.2,9.92,0.52,7.57,
1B,1,uninvaded,town,58.77346,-94.18855,42.4,5.47,0.12,7.45,
6A,2,invaded,town,58.77246,-94.18699,4.63,2.22,0,7.556666667,total N < 0.02
6B,2,uninvaded,town,58.77246,-94.18699,8.31,1.74,0,7.496666667,total N < 0.02
7A,3,invaded,town,58.7789,-94.19338,33.6,5.49,0.1,7.463333333,
7B,3,uninvaded,town,58.7789,-94.19338,77.2,4.93,0.2,7.51,
8A,4,invaded,town,58.77887,-94.19292,12.1,4.4,0.11,7.623333333,
8B,4,uninvaded,town,58.77887,-94.19292,22.5,7.7,0.35,7.5,
9A,5,invaded,airport,58.75553,-94.0862,7.55,6.07,0.04,7.756666667,
9B,5,uninvaded,airport,58.75553,-94.0862,11.4,6.86,0.07,7.68,
10A,6,invaded,airport,58.74913,-94.08708,117,18.35,1.81,7.38,
10B,6,uninvaded,airport,58.74913,-94.08708,66.3,9.74,0.5,7.49,
11A,7,invaded,airport,58.74967,-94.08649,84.8,7.72,0.61,7.18,
11B,7,uninvaded,airport,58.74967,-94.08649,50.4,5.6,0.36,7.5,
12A,8,invaded,airport,58.74644,-94.09373,118,14.45,1.23,7.283333333,
12B,8,uninvaded,airport,58.74644,-94.09373,118,17.09,1.67,7.443333333,
13A,9,invaded,airport,58.74452,-94.10307,83.9,20.34,1.91,7.193333333,
13B,9,uninvaded,airport,58.74452,-94.10307,142,11.45,1,7.456666667,
14A,10,invaded,town,58.77745,-94.18886,53.2,21.08,0.61,7.503333333,
14B,10,uninvaded,town,58.77745,-94.18886,46,11.78,0.46,7.52,
15A,11,invaded,town,58.77907,-94.18317,56.6,30.4,2.53,7.166666667,
15B,11,uninvaded,town,58.77907,-94.18317,28.8,10.53,0.64,7.373333333,
16A,12,invaded,airport,58.73304,-94.10395,49.9,8.83,0.5,7.466666667,
16B,12,uninvaded,airport,58.73304,-94.10395,30.4,4.89,0.17,7.793333333,
17A,13,invaded,CNSC,58.73748,-93.8204,31.2,8.42,0.51,7.73,
17B,13,uninvaded,CNSC,58.73748,-93.8204,33,8.35,0.51,6.93,
18A,14,invaded,CNSC,58.73764,-93.82043,52.9,6.11,0.3,7.563333333,
18B,14,uninvaded,CNSC,58.73764,-93.82043,1.98,6.11,0.04,7.796666667,